startupName,startupActivitySector,startupCreatedAt,startupLogo,startupWebsite,startupLabelDate,startupDescription,startupFounders,startupEmail,startupPhone
cookit,FoodTech & New Food,2021,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://cookit.tn/,07/2023,"Cookit is a Meal Kit service, first of its kind in Tunisia.
We deliver meal boxes with pre-portioned ingredients needed to prepare the recipe(s) choosen by the user using our website or mobile app. Custumers have access to a large selection of recipe renewed every week.","Sadri Gargouri, Khlil Gargouri",n.a.,n.a.
WaterSpirit,HealthTech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Waterspirit.png,http://www.waterspirit.com.tn,03/2020,"WaterSpirit: Cultivation of specific microalgae in closed systems to extract biological active ingredients with therapeutic effects on human health such as antioxidants, polyunsaturated fatty acids, ""vegan"" proteins...","Mehdi Bhouri, Olfa Bousselmi, Chaima Bel HajAmor, Amir Ben Hadj Hassine",n.a.,n.a.
Paypos Tunisie,Fintech,2014,https://admin.startup.gov.tn/storage/application_sessions/images/logos/paypos.png,http://paypos.tn,04/2019,"Development of innovative electronic money solutions and in the digitization of compatible banking and financial services (PCI-DSS, EMV...).",Khatib Chakchouk,n.a.,n.a.
InstaDeep,Business Software and services,2014,https://admin.startup.gov.tn/storage/application_sessions/images/logos/instadeep.png,https://www.instadeep.com,06/2019,InstaDeep offers AI solutions for the enterprise and AI decision support products for several sectors such as logistics and mobility.,"Karim Beguir, Zohra Slim",n.a.,n.a.
POLYSMART,Ad Tech and Creative Tech,2015,https://admin.startup.gov.tn/storage/application_sessions/images/logos/polysmart.png,null,04/2019,We produce an Esport game of the MOBA type (shooter) Top/down view (third person) for PC platform.,"Ahmed Cheikhrouhou, Haroun Bouchrit",n.a.,n.a.
Deli Solutions,Commerce and shopping,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/monresto.png,https://www.monresto.net,06/2019,Monresto is a last mile logistics platform that connects customers with their favorite restaurants through independent delivery agents. It also allows local shops and ecommerce sites to use our network of delivery agents to send their packages to customers.,"Sami Tounsi, Zied Ouerdani",n.a.,n.a.
Wattnow,Consumer products and services,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/wattnow.png,https://www.wattnow.io/,05/2019,"Wattnow offers an IoT solution for monitoring and controlling electricity, which allows companies to reduce waste and improve their energy efficiency",Issam Smaali,n.a.,n.a.
Gloristory,Ad Tech and Creative Tech,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Gloristory_logo.png,null,04/2023,"Gloristory is a young Tunisian publishing house, specializing in the creation of committed and hybrid board games, which highlights various themes and raises awareness on current issues in a fun and inclusive way.","Héla Majdoub, Afef Majdoub",n.a.,n.a.
Wildkard,Wellness,2022,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.wildkard.tn,06/2023,"Wildkard is a web and mobile app that connects consumers with the best wellness products and services and help sellers reach their target audience. The company's mission is to provide customers with a convenient and accessible platform to purchase various wellness products and services, including sports, fashion and beauty products, fitness classes, spa treatments, and health supplements. Wildkard's ultimate goal is to promote a healthier lifestyle and make wellness more accessible to people in Tunisia and beyond.",Skander Chouka,n.a.,n.a.
Katomi,HealthTech,2019,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Katomi.png,http://Katomi.co,03/2020,"Katomi is a telemedicine platform dedicated to health professionals, care facilities and people on the move","Hédi Michau, Firas Mezghani",n.a.,n.a.
HelpyGo,Consumer products and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://helpygo.tunealgo.com/,10/2023,"HelpyGo, the leading marketplace for service offerings and equipment rentals near you!","Mohamed Melki, Amani Khalfaoui, Yacine Maaroufi",contact@tunealgo.com,+33666530625
Arion,Fintech,2018,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Ariontechnology.png,http://arion-tech.com,05/2020,"SaaS solution provider specialized in digital transformation and artificial intelligence for the retail, retail intermediary and banking industries.",Ahmed Gharbi,n.a.,n.a.
ZOLFA,Business Software and services,2020,https://admin.startup.gov.tn/storage/application_sessions/images/logos/zolfa.png,http://zolfa.epizy.com,04/2020,"ZOLFA Electronics designs and manufactures various electronic and automatic systems, including electronic devices that can be programmed directly with an Arabic programming language, at both low and high levels.",JRIDI Adel,omegatec@planet.tn,50333141
iTrend tECHNOLOGY,Business Software and services,2023,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Fb.png,httpS://itrend-technology.tn/,07/2023,"iTrend Technology is a web and social media monitoring platform to monitor the digital reputation of companies, brands and public figures.",Mohamed Ali Blaiti,n.a.,n.a.
H eco ferme,Environment,2022,https://admin.startup.gov.tn/storage/application_sessions/images/logos/Logo initial et blanc Hecoferme_Plan de travail 1.png,Www.hecoferme.com,05/2023,"Our livestock feed supplement manufacturing project stands out from others for several key features. First, we highlight palm leaves in our products, which is a unique and innovative approach. We have developed specific expertise in the exploitation and processing of palm leaves, transforming them into high quality food supplements. This innovative approach allows us to provide products that benefit both farmed animals and the environment. By valuing palm leaves, we also support sustainable agricultural practices, thus reducing environmental impact and promoting agriculture that respects biodiversity.","Hedi Amorri, Aboud Fatma",Hecofermeamorri99@gmail.com,28 866 914
DeepAI,Business Software and services,2023,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,https://deepai.tn/,06/2023,"DeepAI is a startup focused on the development of advanced artificial intelligence solutions. We focus on key areas such as semantic search, AI-based content generation and LLM language model development.","Seifedine Guizeni, Jihène Ben Slimene",seifeur@gmail.com,+21621247353
South fruits Agri,Agritech,2017,https://startup.gov.tn/sites/default/files/2021-10/startuptunisia.png,www.south-fruits.com,01/2024,"SFA is a company producing and marketing dates and derivatives based mainly in Kébili. We have created an international online trading platform for agricultural products and their derivatives. This Marketplace will be powered by ecological products that come from farmers, artisans and other startup partners.",Thouraya Rajah,administration@south-fruits.com,95387739
